Datetime,Actual,Prophet_Forecast,ETS_Forecast,Prophet_Residual,ETS_Residual
2017-08-12 03:00:00,11783.0,12731.268213717896,11372.55195382294,-948.2682137178963,410.44804617705995
2017-08-12 04:00:00,11465.0,12630.735318537523,11199.185883368702,-1165.7353185375232,265.814116631298
2017-08-12 05:00:00,11461.0,12861.071858671325,11175.445553752104,-1400.0718586713247,285.5544462478956
2017-08-12 06:00:00,11563.0,13390.50699991964,11523.656483182043,-1827.5069999196403,39.3435168179567
2017-08-12 07:00:00,11803.0,14086.361496101505,12312.538723350934,-2283.3614961015046,-509.53872335093365
2017-08-12 08:00:00,12081.0,14748.703556245651,12820.467331330185,-2667.7035562456513,-739.4673313301846
2017-08-12 09:00:00,12800.0,15210.487869880508,12618.893468229056,-2410.487869880508,181.10653177094355
2017-08-12 10:00:00,13693.0,15427.714146391543,12377.869504499531,-1734.7141463915432,1315.130495500469
2017-08-12 11:00:00,14398.0,15481.498853460604,12069.430630683117,-1083.4988534606036,2328.5693693168832
2017-08-12 12:00:00,15047.0,15489.917571674248,11708.908687071904,-442.9175716742484,3338.091312928096
2017-08-12 13:00:00,15620.0,15509.567408954856,11517.862888253883,110.43259104514436,4102.137111746117
2017-08-12 14:00:00,16055.0,15514.205245379451,11440.1955808376,540.7947546205487,4614.804419162399
2017-08-12 15:00:00,16290.0,15461.401753055874,11485.114238425327,828.598246944126,4804.885761574673
2017-08-12 16:00:00,16430.0,15371.51860838686,11558.876165953578,1058.4813916131407,4871.123834046422
2017-08-12 17:00:00,16591.0,15331.49105797217,11769.957523266308,1259.508942027829,4821.042476733692
2017-08-12 18:00:00,16553.0,15411.428516572858,12050.109616743392,1141.571483427142,4502.890383256608
2017-08-12 19:00:00,16277.0,15571.72414812145,12631.042796324393,705.2758518785504,3645.957203675607
2017-08-12 20:00:00,15753.0,15654.353211311289,13459.4424654291,98.64678868871124,2293.5575345709003
2017-08-12 21:00:00,15200.0,15477.696235809904,13660.05803371314,-277.69623580990446,1539.9419662868604
2017-08-12 22:00:00,14841.0,14960.22756459259,13473.329127219717,-119.22756459258926,1367.6708727802834
2017-08-12 23:00:00,13926.0,14173.618008062444,13033.981331633548,-247.61800806244355,892.0186683664524
2017-08-13 00:00:00,12862.0,13291.234610773894,12464.67965839083,-429.234610773894,397.3203416091692
2017-08-13 01:00:00,12039.0,12488.389679260288,11969.732684825316,-449.3896792602882,69.26731517468397
2017-08-13 02:00:00,11367.0,11880.342377625926,11675.971002712671,-513.342377625926,-308.9710027126712
2017-08-13 03:00:00,10957.0,11530.822069569223,11372.031162136713,-573.8220695692235,-415.03116213671274
2017-08-13 04:00:00,10778.0,11487.739111119889,11198.665091682473,-709.7391111198885,-420.66509168247285
2017-08-13 05:00:00,10669.0,11782.613022428584,11174.924762065875,-1113.6130224285844,-505.92476206587526
2017-08-13 06:00:00,10627.0,12383.46955398686,11523.135691495814,-1756.4695539868608,-896.1356914958142
2017-08-13 07:00:00,10702.0,13157.364308683147,12312.017931664705,-2455.364308683147,-1610.0179316647045
2017-08-13 08:00:00,11017.0,13904.039759168889,12819.946539643955,-2887.039759168889,-1802.9465396439555
2017-08-13 09:00:00,11713.0,14456.066072561596,12618.372676542827,-2743.0660725615962,-905.3726765428273
2017-08-13 10:00:00,12546.0,14769.0020866689,12377.348712813304,-2223.002086668899,168.6512871866962
2017-08-13 11:00:00,13266.0,14923.470103790263,12068.909838996886,-1657.4701037902632,1197.0901610031142
2017-08-13 12:00:00,13987.0,15037.00189263783,11708.387895385677,-1050.0018926378307,2278.6121046143235
2017-08-13 13:00:00,14719.0,15165.605308527423,11517.342096567654,-446.6053085274234,3201.657903432346
2017-08-13 14:00:00,15342.0,15282.407262325927,11439.674789151371,59.59273767407285,3902.3252108486286
2017-08-13 15:00:00,15803.0,15344.312936632865,11484.5934467391,458.6870633671351,4318.4065532609
2017-08-13 16:00:00,16183.0,15370.988614062731,11558.355374267348,812.0113859372686,4624.644625732652
2017-08-13 17:00:00,16664.0,15448.65022211827,11769.43673158008,1215.349777881729,4894.563268419921
2017-08-13 18:00:00,16869.0,15646.670211140405,12049.588825057162,1222.3297888595953,4819.4111749428375
2017-08-13 19:00:00,16717.0,15924.693650885543,12630.522004638166,792.3063491144567,4086.4779953618345
2017-08-13 20:00:00,16200.0,16123.943258822794,13458.921673742872,76.05674117720628,2741.0783262571276
2017-08-13 21:00:00,15875.0,16062.049355444407,13659.537242026914,-187.0493554444074,2215.462757973086
2017-08-13 22:00:00,15472.0,15656.745209818828,13472.80833553349,-184.7452098188278,1999.1916644665107
2017-08-13 23:00:00,14427.0,14978.976448496223,13033.46053994732,-551.9764484962234,1393.5394600526797
2017-08-14 00:00:00,13463.0,14201.40745573682,12464.158866704603,-738.4074557368203,998.8411332953965
2017-08-14 01:00:00,12627.0,13498.676842727986,11969.211893139089,-871.6768427279858,657.7881068609113
2017-08-14 02:00:00,12118.0,12985.405222550668,11675.450211026444,-867.4052225506675,442.54978897355613
2017-08-14 03:00:00,11721.0,12724.7244025667,11371.510370450484,-1003.7244025667005,349.4896295495164
2017-08-14 04:00:00,11485.0,12763.993636409848,11198.144299996246,-1278.9936364098485,286.85570000375446
2017-08-14 05:00:00,11703.0,13134.232803785892,11174.403970379648,-1431.2328037858915,528.596029620352
2017-08-14 06:00:00,12183.0,13803.023980191794,11522.614899809589,-1620.0239801917942,660.3851001904113
2017-08-14 07:00:00,13257.0,14637.039009604665,12311.497139978475,-1380.039009604665,945.5028600215246
2017-08-14 08:00:00,13922.0,15435.699876835874,12819.425747957728,-1513.6998768358735,1102.5742520422718
2017-08-14 09:00:00,14577.0,16031.322256510915,12617.8518848566,-1454.3222565109154,1959.1481151434
2017-08-14 10:00:00,15063.0,16379.278554558638,12376.827921127076,-1316.2785545586376,2686.1720788729235
2017-08-14 11:00:00,15712.0,16560.074086055058,12068.389047310658,-848.0740860550577,3643.6109526893415
2017-08-14 12:00:00,16440.0,16691.19376768592,11707.86710369945,-251.19376768591974,4732.132896300551
2017-08-14 13:00:00,17087.0,16828.66872843218,11516.821304881429,258.3312715678185,5570.178695118571
2017-08-14 14:00:00,17749.0,16945.718571420297,11439.153997465144,803.2814285797031,6309.846002534856
2017-08-14 15:00:00,18215.0,16999.409195026543,11484.072655052873,1215.5908049734571,6730.9273449471275
2017-08-14 16:00:00,18429.0,17009.633556019144,11557.83458258112,1419.3664439808563,6871.165417418881
2017-08-14 17:00:00,18620.0,17062.897503883956,11768.915939893852,1557.1024961160438,6851.084060106148
2017-08-14 18:00:00,18706.0,17228.923335155283,12049.068033370935,1477.076664844717,6656.931966629065
2017-08-14 19:00:00,18414.0,17467.761992191787,12630.001212951938,946.2380078082133,5783.998787048062
2017-08-14 20:00:00,17869.0,17621.093664625605,13458.400882056643,247.90633537439498,4410.599117943357
2017-08-14 21:00:00,17722.0,17507.052839689593,13659.016450340689,214.94716031040662,4062.9835496593114
2017-08-14 22:00:00,17288.0,17043.91832075683,13472.287543847262,244.08167924316876,3815.712456152738
