Datetime,Actual,Prophet_Forecast,ETS_Forecast
2018-05-12 19:00:00,14648.0,13086.17906889646,12488.866665984217
2018-05-12 20:00:00,14253.0,13169.146182187202,13317.266335088923
2018-05-12 21:00:00,13995.0,12992.820912504449,13517.881903372965
2018-05-12 22:00:00,13857.0,12475.67771791464,13331.15299687954
2018-05-12 23:00:00,13059.0,11689.387524717793,12891.805201293371
2018-05-13 00:00:00,12158.0,10807.3174939649,12322.503528050654
2018-05-13 01:00:00,11363.0,10004.780049524134,11827.55655448514
2018-05-13 02:00:00,10737.0,9397.034473700347,11533.794872372495
2018-05-13 03:00:00,10426.0,9047.810248874292,11229.855031796535
2018-05-13 04:00:00,10233.0,9005.017850654636,11056.488961342297
2018-05-13 05:00:00,10036.0,9300.17691941741,11032.748631725699
2018-05-13 06:00:00,10092.0,9901.313326638036,11380.959561155638
2018-05-13 07:00:00,10296.0,10675.482796860028,12169.841801324528
2018-05-13 08:00:00,10678.0,11422.427925093625,12677.77040930378
2018-05-13 09:00:00,11518.0,11974.719001504995,12476.196546202651
2018-05-13 10:00:00,12161.0,12287.914987628968,12235.172582473127
2018-05-13 11:00:00,12733.0,12442.63831017094,11926.73370865671
2018-05-13 12:00:00,13264.0,12556.420862918563,11566.2117650455
2018-05-13 13:00:00,13759.0,12685.270626928737,11375.165966227478
2018-05-13 14:00:00,14146.0,12802.314639460792,11297.498658811195
2018-05-13 15:00:00,14471.0,12864.458210151703,11342.417316398924
2018-05-13 16:00:00,14923.0,12891.367749294428,11416.179243927172
2018-05-13 17:00:00,15175.0,12969.259312709934,11627.260601239903
2018-05-13 18:00:00,15258.0,13167.505479655947,11907.412694716986
2018-05-13 19:00:00,15216.0,13445.75144947306,12488.34587429799
2018-05-13 20:00:00,15133.0,13645.220069794776,13316.745543402696
2018-05-13 21:00:00,15133.0,13583.541791864029,13517.361111686738
2018-05-13 22:00:00,15026.0,13178.4500161321,13330.632205193313
2018-05-13 23:00:00,14046.0,12500.89050105573,12891.284409607144
2018-05-14 00:00:00,12894.0,11723.527763505766,12321.982736364427
2018-05-14 01:00:00,12215.0,11021.000547789652,11827.035762798912
2018-05-14 02:00:00,11715.0,10507.929600551346,11533.274080686268
2018-05-14 03:00:00,11325.0,10247.446863493831,11229.334240110307
2018-05-14 04:00:00,11262.0,10286.91172499874,11055.96816965607
2018-05-14 05:00:00,11405.0,10657.344200063031,11032.227840039472
2018-05-14 06:00:00,12023.0,11326.326500140658,11380.43876946941
2018-05-14 07:00:00,13048.0,12160.530605510448,12169.3210096383
2018-05-14 08:00:00,13818.0,12959.378637877418,12677.249617617552
2018-05-14 09:00:00,14479.0,13555.186409412423,12475.675754516424
2018-05-14 10:00:00,15213.0,13903.326463861404,12234.6517907869
2018-05-14 11:00:00,15984.0,14084.304254761852,11926.212916970482
2018-05-14 12:00:00,16542.0,14215.604837720728,11565.690973359273
2018-05-14 13:00:00,17053.0,14353.259481107856,11374.64517454125
2018-05-14 14:00:00,17209.0,14470.48792790942,11296.977867124968
2018-05-14 15:00:00,17254.0,14524.356216842147,11341.896524712696
2018-05-14 16:00:00,17236.0,14534.757445459563,11415.658452240945
2018-05-14 17:00:00,17535.0,14588.197604483037,11626.739809553676
2018-05-14 18:00:00,17782.0,14754.399132131142,11906.891903030759
2018-05-14 19:00:00,17610.0,14993.413112876713,12487.825082611762
2018-05-14 20:00:00,17295.0,15146.919878890461,13316.224751716469
2018-05-14 21:00:00,17050.0,15033.054060359445,13516.84032000051
2018-05-14 22:00:00,16739.0,14570.094604016926,13330.111413507086
2018-05-14 23:00:00,15428.0,13829.568493408073,12890.763617920917
2018-05-15 00:00:00,14099.0,12984.751163063222,12321.4619446782
2018-05-15 01:00:00,13105.0,12210.915751580673,11826.514971112685
2018-05-15 02:00:00,12451.0,11623.334499456429,11532.75328900004
2018-05-15 03:00:00,11993.0,11285.801474266795,11228.81344842408
2018-05-15 04:00:00,11841.0,11246.342336408983,11055.447377969842
2018-05-15 05:00:00,11865.0,11536.64108454109,11031.707048353244
2018-05-15 06:00:00,12480.0,12124.935312481719,11379.917977783183
2018-05-15 07:00:00,13440.0,12878.537658399462,12168.800217952074
2018-05-15 08:00:00,14214.0,13597.490307864506,12676.728825931325
2018-05-15 09:00:00,14815.0,14114.702989273103,12475.154962830195
2018-05-15 10:00:00,15401.0,14386.110834520134,12234.130999100671
2018-05-15 11:00:00,16073.0,14492.745801767347,11925.692125284253
2018-05-15 12:00:00,16700.0,14552.579084441091,11565.170181673042
2018-05-15 13:00:00,17326.0,14622.08395211742,11374.124382855021
2018-05-15 14:00:00,17897.0,14674.874790043576,11296.457075438739
2018-05-15 15:00:00,18072.0,14668.36227348121,11341.375733026467
2018-05-15 16:00:00,17884.0,14622.73208025689,11415.137660554716
2018-05-15 17:00:00,17683.0,14624.729284167606,11626.219017867446
2018-05-15 18:00:00,17300.0,14744.26108423224,11906.37111134453
2018-05-15 19:00:00,16751.0,14941.50879291262,12487.304290925533
2018-05-15 20:00:00,16267.0,15058.22883311467,13315.70396003024
